Image Name,AI Artifacts,Creativity,Visual Harmony,Visual Richness,Composition,Color,Aes MOS,T2I MOS,Prompt
D-1.1.jpg,3.176470588,3.235294118,2.823529412,3.411764706,2.823529412,3.352941176,2.989062383,3.933514949,"Baroque frescoes, intricate motifs and gold decorations"
I-1.1.jpg,3.176470588,2.882352941,3.117647059,2.764705882,3.352941176,2.941176471,3.11690845,3.983684571,"Baroque frescoes, intricate motifs and gold decorations"
MJ-v4-1.1.jpg,2.882352941,3.294117647,3.176470588,3.470588235,3.176470588,2.941176471,3.17983018,3.515319112,"Baroque frescoes, intricate motifs and gold decorations"
MJ-v6-1.1.jpg,3.705882353,3.294117647,3.352941176,3.882352941,3.705882353,3.647058824,4.019361819,4.610407519,"Baroque frescoes, intricate motifs and gold decorations"
SD-1.5-1.1.jpg,2.352941176,1.529411765,2,1.411764706,1.647058824,2,0.900803311,1.104572552,"Baroque frescoes, intricate motifs and gold decorations"
SD-rv6-1.1.jpg,2.647058824,3.176470588,3.117647059,3.058823529,2.882352941,3,2.845413151,3.698346279,"Baroque frescoes, intricate motifs and gold decorations"
D-1.2.jpg,3.235294118,2.705882353,2.941176471,3,2.588235294,2.529411765,2.583568686,2.954519998,"Baroque frescoes, intricate motifs and gold decorations"
I-1.2.jpg,2.352941176,2.647058824,2.411764706,2.470588235,2.647058824,2.235294118,1.65841464,2.586163976,"Baroque frescoes, intricate motifs and gold decorations"
MJ-v4-1.2.jpg,2.411764706,2.823529412,2.941176471,2.588235294,2.823529412,2.470588235,2.371066301,3.275939858,"Baroque frescoes, intricate motifs and gold decorations"
MJ-v6-1.2.jpg,3.470588235,3.411764706,3.411764706,3.529411765,3.588235294,3.470588235,3.622499803,3.824413327,"Baroque frescoes, intricate motifs and gold decorations"
SD-1.5-1.2.jpg,3.058823529,2.588235294,2.882352941,2.588235294,3,2.647058824,2.478857373,3.54023406,"Baroque frescoes, intricate motifs and gold decorations"
SD-rv6-1.2.jpg,3,2.823529412,2.705882353,3.058823529,3.294117647,2.823529412,2.91780472,3.654590263,"Baroque frescoes, intricate motifs and gold decorations"
D-2.1.jpg,3.176470588,2.941176471,3.294117647,3,3.235294118,3.352941176,2.948872139,3.316524003,"Vector design of small Inflated Text Effect of word ""hello"" in white light, background is colorful neon sky, in the air"
I-2.1.jpg,2.941176471,2.176470588,2.470588235,1.823529412,2.529411765,2.294117647,1.473775754,2.203929845,"Vector design of small Inflated Text Effect of word ""hello"" in white light, background is colorful neon sky, in the air"
MJ-v4-2.1.jpg,2.823529412,2.470588235,2.588235294,2.588235294,2.882352941,2.647058824,1.912470705,1.375191397,"Vector design of small Inflated Text Effect of word ""hello"" in white light, background is colorful neon sky, in the air"
MJ-v6-2.1.jpg,2.470588235,3,2.235294118,2.882352941,2.705882353,2.823529412,1.864325455,1.317545493,"Vector design of small Inflated Text Effect of word ""hello"" in white light, background is colorful neon sky, in the air"
SD-1.5-2.1.jpg,2.117647059,2.352941176,2.117647059,2.235294118,2.176470588,2.411764706,1.120959469,0.222938114,"Vector design of small Inflated Text Effect of word ""hello"" in white light, background is colorful neon sky, in the air"
SD-rv6-2.1.jpg,2.588235294,2.235294118,2.294117647,2.058823529,2.588235294,2.411764706,1.443625915,0.916863614,"Vector design of small Inflated Text Effect of word ""hello"" in white light, background is colorful neon sky, in the air"
D-2.2.jpg,2.882352941,2.352941176,2.470588235,2.411764706,3.058823529,2.588235294,1.905914153,2.657146315,"Vector design of small Inflated Text Effect of word ""hello"" in white light, background is colorful neon sky, in the air"
